timestamp,date,I,D,H
1,2021-12-02,137912,3940,52822.0
2,2021-12-03,157998,1610,53588.0
3,2021-12-04,67808,700,53797.0
4,2021-12-05,56562,412,54874.0
5,2021-12-06,174919,1425,56687.0
6,2021-12-07,112469,1513,58121.0
7,2021-12-08,149378,1821,58893.0
8,2021-12-09,123935,1553,59505.0
9,2021-12-10,157415,1753,60286.0
10,2021-12-11,57742,624,60073.0
11,2021-12-12,53397,371,60909.0
12,2021-12-13,183254,1391,62293.0
13,2021-12-14,113350,1512,62481.0
14,2021-12-15,145615,2232,62353.0
15,2021-12-16,142190,1268,62198.0
16,2021-12-17,192509,1864,62158.0
17,2021-12-18,81681,679,61048.0
18,2021-12-19,90919,320,61583.0
19,2021-12-20,241162,1550,62826.0
20,2021-12-21,182274,1913,63097.0
21,2021-12-22,247854,4185,63930.0
22,2021-12-23,274389,1405,64478.0
23,2021-12-24,248269,689,64624.0
24,2021-12-25,88315,242,65267.0
25,2021-12-26,183521,370,68492.0
26,2021-12-27,506071,1846,73248.0
27,2021-12-28,372460,2291,77973.0
28,2021-12-29,511018,2355,83424.0
29,2021-12-30,597947,1487,87691.0
30,2021-12-31,512042,731,91389.0
